Ticker,Name,Link,Industry,Sector,City,State,Country,Employees,Type,Exchange,Implied Val,Lead Inv,Last Raise,Last Raise Date,Total Raise,Rounds,Last Class,52w Low,52w High,52w Chg,52w % Chg,Founded,Timestamp
ATTE.PVT,Attentive,https://attentive.com,"Email Marketing, Marketing Automation, Messaging, Mobile, Personalization",Sales and Marketing,New York,NY,US,1001,Private Company,PVT,1114932736.0,Atomico,470100288.0,1616544000.0,866120768,5.0,Series E,7.36,15.0,-50.93,-50.93,2016-01-01,2025-08-27 17:29:32.713686-04:00
SANS.PVT,SambaNova Systems,https://sambanova.ai,"Analytics, Artificial Intelligence (AI), Machine Learning, Semiconductor, Software",Hardware,Palo Alto,CA,US,251,Private Company,PVT,1113134848.0,Atlantic Bridge,488634944.0,1618272000.0,2172594688,5.0,Series D-1,20.71,45.24,-22.35,-22.35,2017-01-01,2025-08-27 17:29:33.009022-04:00
CONS.PVT,Consensys,https://consensys.io,"Consulting, Cryptocurrency, Financial Exchanges, Financial Services",Blockchain and Crypto,Brooklyn,NY,US,501,Private Company,PVT,1045451968.0,Alameda Ventures,450000128.0,1647302400.0,1409450624,3.0,Series D,19.0,23.3,-11.12,-11.12,2014-10-01,2025-08-27 17:29:33.289459-04:00
TATE.PVT,TAE Technologies,https://tae.com/,"Clean Energy, CleanTech, Energy, Energy Management, Renewable Energy",Energy,Foothill Ranch,CA,US,251,Private Company,PVT,1098598528.0,Charles Schwab,150000000.0,1748822400.0,1186704768,12.0,Series 12,18.5,20.73,-3.52,-3.52,1998-01-01,2025-08-27 17:29:33.607050-04:00
SIXS.PVT,6sense,http://www.6sense.com,"Artificial Intelligence (AI), B2B, Big Data, Business Information Systems, Machine Learning",Software,San Francisco,CA,US,1001,Private Company,PVT,958698432.0,Bain Capital Ventures,180000016.0,1642636800.0,1577394944,7.0,Series E-1,5.83,14.68,-60.29,-60.29,2013-01-01,2025-08-27 17:29:33.915142-04:00
LIDE.PVT,Liquid Death,https://liquiddeath.com,"Food and Beverage, Product Design, Wellness",Food and Beverage,Santa Monica,,US,251,Private Company,PVT,951516480.0,,67609792.0,1710115200.0,2484258304,8.0,Series F-1,8.75,9.83,-8.85,-8.85,2017-01-01,2025-08-27 17:29:34.187936-04:00
PATR.PVT,Patreon,http://www.patreon.com,"Content Creators, Music, Podcast, Video",Media and Entertainment,San Francisco,CA,US,251,Private Company,PVT,864530496.0,CRV,154999984.0,1617667200.0,407775488,7.0,Series F,10.38,13.49,-19.87,-19.87,2013-01-01,2025-08-27 17:29:34.537846-04:00
VECR.PVT,Vectra,https://vectra.ai/,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Network Security, Software",Privacy and Security,San Jose,CA,US,501,Private Company,PVT,839797440.0,Accel,130000000.0,1619654400.0,352233824,7.0,Series F,5.23,5.41,-1.66,-1.66,2011-01-01,2025-08-27 17:29:34.929115-04:00
DTMR.PVT,Dataminr,http://www.dataminr.com,"Analytics, Artificial Intelligence (AI), Information Technology, Risk Management, Software",Software,New York,NY,US,501,Private Company,PVT,830338368.0,BoxGroup,475000032.0,1616457600.0,1034885568,6.0,Series F,8.88,13.75,-14.98,-14.98,2009-01-01,2025-08-27 17:29:35.269276-04:00
THSP.PVT,ThoughtSpot,https://www.thoughtspot.com,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Machine Learning, SaaS",Software,Mountain View,CA,US,501,Private Company,PVT,804770304.0,Capital One Growth Ventures,124637920.0,1689638400.0,802883968,9.0,Series F-1,3.85,5.71,-18.91,-18.91,2012-06-01,2025-08-27 17:29:35.759552-04:00
EISL.PVT,Eight Sleep,http://eightsleep.com,"Consumer Electronics, Health Care, Wellness",Consumer Electronics,New York,NY,US,11,Private Company,PVT,756836096.0,8VC,69124688.0,1755561600.0,223778800,5.0,Series D,1.44,4.3,198.61,198.61,2014-07-01,2025-08-27 17:29:36.027040-04:00
GUID.PVT,Guideline,https://www.guideline.com,"FinTech, Finance, Financial Services, Insurance",Financial Services,San Mateo,CA,US,251,Private Company,PVT,753763584.0,500 Startups,199630816.0,1618185600.0,355815040,5.0,Series E,10.5,14.89,5.08,5.08,2015-01-01,2025-08-27 17:29:36.306453-04:00
WORR.PVT,Workrise,https://www.workrise.com,"Billing, Compliance, Employment, Human Resources, Marketplace, Online Portals",Administrative Services,Austin,TX,US,251,Private Company,PVT,735519744.0,Andreessen Horowitz,299999808.0,1621468800.0,2441376768,9.0,Series E,106.3,148.08,-28.21,-28.21,2014-01-01,2025-08-27 17:29:36.592781-04:00
INTC.PVT,Intercom,https://www.intercom.com/,"CRM, Marketing Automation, SaaS, Sales Automation",Sales and Marketing,San Francisco,CA,US,501,Private Company,PVT,686455936.0,500 Startups,124999792.0,1521244800.0,241365440,5.0,Series D,17.0,25.0,8.7,8.7,2011-04-26,2025-08-27 17:29:36.882617-04:00
DRUV.PVT,Druva,http://www.druva.com,"Cloud Data Services, Cloud Security, Compliance, Data Storage, Enterprise Software, SaaS, Software",Privacy and Security,Sunnyvale,CA,US,1001,Private Company,PVT,618996800.0,Atreides Capital,,,0,,,2.9,2.9,0.0,0.0,2008-08-02,2025-08-27 17:29:37.154721-04:00
GREE.PVT,Greenlight,https://www.greenlight.com,"Debit Cards, FinTech, Finance, Financial Services, Payments",Financial Services,Atlanta,,US,251,Private Company,PVT,600949568.0,Ally Financial,259999968.0,1619481600.0,1109633024,5.0,Series D,15.76,15.76,0.0,0.0,2014-01-01,2025-08-27 17:29:37.433839-04:00
DRAG.PVT,Dragos,https://www.dragos.com,"Cyber Security, Network Security, Security",Privacy and Security,Hanover,MD,US,501,Private Company,PVT,575405632.0,AllegisCyber,210000224.0,1635379200.0,382195808,5.0,Series D,11.5,15.5,31.13,31.13,2016-04-01,2025-08-27 17:29:37.718997-04:00
IMPF.PVT,Impossible Foods,http://impossiblefoods.com,"Food Processing, Food and Beverage, Nutrition, Organic Food",Food and Beverage,Redwood City,CA,US,251,Private Company,PVT,430182304.0,G Squared,500145120.0,1637625600.0,1960893440,8.0,Series H-1,1.52,3.25,-53.23,-53.23,2011-01-01,2025-08-27 17:29:38.059358-04:00
BLOO.PVT,Bloomreach,http://www.bloomreach.com,"Information Technology, Marketing Automation, Software, Web Development",Sales and Marketing,Mountain View,CA,US,501,Private Company,PVT,566604864.0,Bain Capital Ventures,174999920.0,1645574400.0,888186112,6.0,Series F,7.0,12.24,-42.81,-42.81,2008-02-24,2025-08-27 17:29:38.334244-04:00
BIGI.PVT,BigID,https://www.bigid.com,"Artificial Intelligence (AI), Big Data, Cyber Security, Risk Management, Software",Privacy and Security,New York,NY,US,251,Private Company,PVT,534287872.0,Advent International,61439924.0,1710720000.0,1215838720,9.0,Series E,1.94,3.48,-39.56,-39.56,2016-02-01,2025-08-27 17:29:38.640708-04:00
SIST.PVT,SingleStore,https://www.singlestore.com/,"Analytics, Big Data, Cloud Data Services, Database, Enterprise Software, Software",Data and Analytics,San Francisco,CA,US,251,Private Company,PVT,514043872.0,Accel Partners,116000000.0,1657584000.0,388782336,9.0,Series F-2,2.07,3.06,-18.3,-18.3,2011-01-01,2025-08-27 17:29:38.914303-04:00
MAPB.PVT,Mapbox,http://www.mapbox.com,"Business Intelligence, Fleet Management, Logistics, Mapping Services, SaaS",Sales and Marketing,San Francisco,CA,US,501,Private Company,PVT,477779456.0,DBL Investors,140000000.0,1695081600.0,639374656,5.0,Series E-1,8.6,10.07,-14.6,-14.6,2010-01-01,2025-08-27 17:29:39.550828-04:00
ZOCD.PVT,Zocdoc,http://www.zocdoc.com,"Health Care, Medical, Mobile Apps, Scheduling, mHealth",Health Care,New York,,US,501,Private Company,PVT,446480000.0,Atomico,100000072.0,1613001600.0,1148867200,5.0,Series D-2,5.0,8.0,-37.5,-37.5,2007-09-18,2025-08-27 17:29:39.889697-04:00
