EPS Gr %,EPS Qtr Gr %,Rev Gr %
,-0.26,-0.193
,,0.22
-0.018,-0.04,0.052
1.309,1.323,0.348
-0.877,-0.876,-0.118
,16.492,0.072
13.856,13.86,0.008
0.592,0.588,0.139
13.856,13.86,0.008
0.322,0.222,0.051
,,0.005
,,0.215
,,0.215
0.009,-0.025,0.075
0.201,0.15,-0.148
0.205,0.184,0.092
0.2,0.131,0.038
-0.57,-0.579,-0.107
0.295,0.284,0.061
,,0.219
0.349,0.307,0.137
0.029,0.031,0.089
-0.355,-0.354,0.034
-0.189,-0.202,0.022
13.856,13.86,0.008
0.008,0.012,-0.036
,,
-0.052,-0.053,0.05
0.996,1.0,0.075
,,0.087
2.606,2.6,-0.043
0.064,0.061,0.006
,,0.165
-0.217,-0.067,0.525
0.279,0.289,0.095
,,-0.074
-0.069,-0.077,0.001
,,
-0.177,-0.172,-0.007
4.438,4.057,-0.036
0.058,0.014,0.04
0.0,-0.067,0.083
22.983,23.445,0.04
0.008,0.012,-0.036
,,0.487
,-0.68,-0.051
-0.803,-0.841,0.099
1.042,1.051,0.157
,,
-0.326,-0.42,-0.015
-0.604,-0.641,-0.001
,,0.142
0.163,0.163,0.127
-0.018,-0.022,0.102
-0.481,-0.581,0.031
-0.376,-0.376,-0.03
-0.109,-0.146,-0.022
0.657,0.569,0.201
-0.089,-0.092,0.146
,,0.284
0.359,0.369,0.047
0.359,0.369,0.047
-0.005,-0.025,0.007
0.081,0.046,0.087
0.233,0.234,0.011
0.173,0.252,0.839
0.255,0.25,0.037
0.875,1.005,0.069
-0.249,-0.258,0.103
-0.038,-0.049,0.004
-0.594,-0.597,-0.093
0.784,0.839,0.415
0.021,0.021,0.189
,,3.221
0.043,0.111,0.236
,,0.115
,,-0.048
-0.006,0.121,-0.013
0.009,-0.009,0.062
-0.154,-0.151,-0.004
0.189,0.112,0.032
-0.214,-0.21,0.168
0.657,0.569,0.201
,,-0.326
0.24,0.204,0.169
-0.406,-0.433,0.123
-0.249,-0.258,0.103
,,0.135
,,-0.019
0.128,0.128,0.149
-0.159,-0.179,-0.009
-0.406,-0.433,0.123
,,0.176
0.301,0.215,0.031
,,0.176
0.401,0.551,0.197
0.094,0.047,-0.019
0.627,0.664,0.097
0.076,0.074,0.121
,,
-0.288,-0.293,0.0
0.284,0.285,0.022
-0.054,-0.127,0.005
0.732,0.655,0.187
0.732,0.655,0.187
-0.206,-0.215,0.042
-0.347,-0.347,-0.069
,,0.524
-0.465,-0.466,-0.142
0.204,0.204,0.005
0.049,0.002,0.012
0.401,0.551,0.197
0.12,0.14,0.08
0.08,0.062,0.08
0.204,0.204,0.005
0.067,0.116,0.15
-0.422,-0.462,-0.05
0.23,0.242,0.196
,,0.125
0.763,0.766,0.328
0.065,0.029,0.055
-0.059,-0.058,-0.014
0.555,0.537,0.045
-0.037,-0.061,0.075
0.386,0.361,0.05
