P/E (TTM),P/E (FWD),P/S (TTM),P/B,PEG R
29.534908,24.74245,10.496134,-24.07693,749.7712121212121
9.2752285,19.257143,2.770851,4.5871143,49.88897150259067
12.866667,12.866667,2.3634174,0.89476115,
17.679012,,3.865753,1.8551626,
17.724566,14.697531,3.856575,9.25379,31.27134255319149
9.072726,,2.7541866,1.1320326,
29.19192,27.655502,6.2117577,5.6900964,77.03482451253481
16.456396,11.143701,2.4188862,0.83033866,-188.87628813559323
15.652174,7.317073,0.01173593,0.013893756,609.7560833333333
50.657894,54.652996,9.045666,14.035159,101.58549442379181
24.235954,22.352331,3.487014,99.28653,1016.0150454545455
13.140918,8.858369,0.36836797,1.5920848,-41.01096759259259
26.982906,23.385183,2.5283484,26.206419,730.78696875
27.963484,23.678808,3.653221,-17.368996,-657.7446666666667
26.737112,24.544163,7.3482904,13.880117,140.25236
26.670454,,2.506193,6.494189,
34.916668,25.0,2.9291012,4.330123,-93.98496240601503
23.147707,29.899122,7.090016,3.0382173,23.729461904761905
11.838951,11.0912285,1.2499735,2.3550887,482.2273260869565
12.729965,13.607077,2.6849835,1.1440426,97.19340714285714
9.09589,7.5454545,0.50630647,0.3433476,72.55244711538462
12.638889,12.638889,3.8371332,6.760773,50.15432142857143
3.2107406,,1.0254927,0.40966436,
22.601852,20.34167,4.50999,1.4547946,54.829299191374666
,224.15117,35.7052,54.179314,
22.006134,17.66995,4.7242475,5.4053645,-173.23480392156864
11.777777,13.25,3.7762997,1.5750371,52.579365079365076
3.0962079,,1.0079788,0.39505088,
29.085106,22.048388,11.293431,6.9005556,72.76695709570957
3.231102,,1.0006899,0.41226232,
26.763887,25.579643,10.840988,23.487268,204.637144
41.63404,20.714184,5.417531,4.2042537,863.091
3.2629168,,0.99131274,0.4163216,
,209.33333,16.916817,26.975197,
9.560185,6.9109774,0.4756722,0.6926927,-21.801190536277602
8.469444,,0.47567192,0.613662,
11.494665,10.71519,2.8382154,2.213072,-64.54933734939759
14.464668,13.813907,1.9985069,3.210094,71.20570618556701
9.705555,6.055459,0.47269475,0.23440854,-19.10239432176656
30.542536,27.57681,3.4833949,27.493137,-275.76809999999995
27.320755,,3.1790054,5.8036075,
19.18691,20.93888,5.23855,4.3192625,427.3240816326531
27.044918,15.933148,3.1394818,22.925854,-21.329515394912985
15.082198,13.2015,4.4601297,2.0801947,412.54687499999994
41.413845,33.690865,13.116196,-13.828017,330.30259803921575
8.268211,8.700349,0.5925441,1.5617963,-37.66384848484848
39.975155,34.417114,8.20493,8.738629,156.44142727272725
8.228477,,0.58969647,1.5542908,
10.619719,11.644788,1.6518708,1.5267794,25.15073002159827
12.159222,12.937412,1.2938217,2.0964975,6.9856436285097185
9.651898,13.377193,4.139009,3.4331384,108.75766666666667
5.230995,,1.9907328,0.38823602,
,28.484,9.443263,4.6120467,
,-383.23767,24.893139,244.4067,
,,3.5663052,,
61.518276,31.161219,9.642525,23.391937,-78.49173551637278
,,,1.8170788,
,,,,
126.433334,27.419277,6.976991,6.812957,-75.53519834710744
7.62333,5.9582148,0.43482506,0.66529524,-8.787927433628319
16.589443,19.208828,2.9277391,2.0247319,7.451058184639256
9.417722,,4.038592,1.6749213,
7.313653,,1.6619077,0.43977013,
189.45657,123.14678,25.062363,21.936161,-724.3928235294118
13.5348835,11.050632,0.74383605,1.9071546,-128.49572093023258
31.60606,19.314816,2.3199196,3.287887,73.72067175572519
21.983606,21.285715,3.7319922,1.9368815,88.32246887966805
30.976095,32.26141,9.400146,28.892605,197.9227607361963
41.213993,22.280312,3.5694494,4.7861414,147.55173509933775
31.100513,18.534842,0.18565866,29.684778,40.73591648351648
17.978968,15.856661,3.4258888,2.7305725,236.66658208955224
21.577778,11.559525,0.06329179,3.0982769,
101.862854,31.832142,12.063542,13.47596,454.74488571428566
17.351145,15.153334,1.2399247,2.391222,-1082.3809999999999
