Rev,Gr P,EBITDA,Op P,Net Inc,ROA,ROE,EPS (TTM),EPS (FWD)
50157998080.0,50157998080.0,,20910868396.39204,12576000000.0,0.00803,0.13605,0.95,0.79
16613000192.0,5271000064.0,1926000000.0,1608636742.1393592,806000000.0,0.10001001,0.14807999,4.5,8.91
50157998080.0,50157998080.0,,20910868396.39204,12576000000.0,0.00803,0.13605,0.95,
5737590784.0,4510329856.0,3271444992.0,4365273992.410604,2513516032.0,0.32546002,2.53772,7.3,5.16
4120999936.0,4003000064.0,941800000.0,446139477.79735965,699000000.0,0.055209998,0.11034001,0.66,2.06
51262001152.0,42143997952.0,24063000576.0,20543246961.664,9018999808.0,0.113900006,0.21992001,3.55,4.42
187118993408.0,65338998784.0,35463000064.0,17804372222.7712,12787999744.0,0.04895,0.10917,5.52,8.13
187118993408.0,65338998784.0,35463000064.0,17804372222.7712,12787999744.0,0.04895,0.10917,5.52,8.05
39990001664.0,15226999808.0,9959000064.0,8568258156.428657,5717000192.0,0.07146,0.33602002,8.79,11.01
51262001152.0,42143997952.0,24063000576.0,20543246961.664,9018999808.0,0.113900006,0.21992001,1.77,
23772999680.0,23772999680.0,,-126654934935.1424,-273000000.0,2.0000001e-05,0.00013,0.37,15.66
822518480896.0,156471771136.0,116545380352.0,40681764065.11616,44810035200.0,0.04032,0.23066,0.71,
25988999168.0,9918000128.0,5879000064.0,4825897255.505919,3924999936.0,0.07694,0.20733,9.94,12.05
24393000960.0,13633000448.0,12366000128.0,10064063848.216782,6935000064.0,0.09105,0.42355,11.51,12.11
18818000896.0,6630900224.0,5217099776.0,4821547813.213102,3179599872.0,0.12502,0.31049,2.51,2.16
44250001408.0,12142999552.0,8551000064.0,6388372703.27296,5207000064.0,0.037920002,0.21399,19.17,22.17
,,,,,,,,
33813000192.0,12556000256.0,15694999552.0,7885191644.7744,6224999936.0,0.0655,0.13109,5.56,12.87
25596000256.0,21208999936.0,12266000384.0,10761070427.62752,3044999936.0,0.0559,0.06271,1.88,4.7
28612999168.0,13877999616.0,9054000128.0,8750141275.56608,6832000000.0,0.15884,0.35634997,8.39,9.69
9830272073728.0,2842070089728.0,1416491040768.0,918540583248.056,632603017216.0,,,0.86,
21419978752.0,12763047936.0,,5303158125.220372,1999090944.0,0.01332,0.07503,2.13,6.07
9830272073728.0,2842070089728.0,1416491040768.0,918540583248.056,632603017216.0,,,0.86,2.48
62215999488.0,62215999488.0,,35714472346.09152,16828000256.0,0.0086199995,0.14597,6.95,5.79
25596000256.0,21208999936.0,12266000384.0,10761070427.62752,3044999936.0,0.0559,0.06271,1.88,4.83
47011000320.0,47011000320.0,,12649249856.102398,6281999872.0,0.00391,0.07259,1.89,2.08
77618003968.0,77618003968.0,,25693887853.52704,19483000832.0,0.01059,0.114980005,0.3,
18435590144.0,8979058688.0,6287244800.0,6206894489.68192,5358217216.0,0.18399,0.58238,4.15,4.27
45738000384.0,32621000704.0,12081999872.0,8231467929.1084795,6383000064.0,0.04605,0.09002,6.0,9.25
124184002560.0,87950999552.0,38219001856.0,24551178547.952026,22904999936.0,0.05244,0.24919,6.03,4.38
27401400320.0,17340299264.0,7585500160.0,5312583494.0416,3426299904.0,0.06704,0.14047,6.9,
20560900096.0,9949599744.0,6025200128.0,4869849187.7376,4079699968.0,0.06315,0.76003,9.98,10.87
45738000384.0,32621000704.0,12081999872.0,8231467929.1084795,6383000064.0,0.04605,0.09002,3.0,4.94
