Gr M,EBITDA M,Op M,Net Inc M
0.60279,0.53966,0.38636002,0.21914
0.3343,0.22733,0.09415,-0.11133
0.0,0.0,0.38996,0.29201
0.94204,0.0,0.38909,0.28899
0.17254,0.07692,0.00638,0.01778
0.47204,0.15477,0.103310004,0.03649
0.38048,0.2682,0.21607,0.19614
0.0,0.0,0.35789,0.23561001
0.52686,0.22477,0.19952999,0.13705
0.75716,-2.30457,-2.36351,-2.59816
0.30279,0.18456,0.17807,0.05447
0.35658002,0.26773,0.16046,0.07876
0.82246,0.0,0.13279,0.18539
0.21684,0.11104,0.0939,0.07428
0.35639998,0.17891,0.14267999,0.10559
0.43339002,0.48699,0.40859002,0.23597999
0.83509004,0.01735,0.06682,-0.03894
0.62369,0.22296,0.17308001,0.103760004
0.10865,0.06372,0.04869,0.03523
0.4354,0.17499,0.16590999,0.12324
0.46644002,0.40658,0.22031,0.15113
0.18330999,0.16113001,0.058769997,0.051220004
0.25931,0.24922001,0.22422001,0.10228
0.19492,0.105790004,0.09648,0.07067
0.20511,0.0777,0.01048,0.05589
0.41347,0.37066,0.21235001,0.1122
0.63490003,0.60959,0.30501,0.38394
0.42491,0.48514,0.43286,0.23934999
0.59884,0.2473,0.2283,0.16654
0.42491,0.48514,0.43286,0.23934999
0.57945997,0.48497,0.30873,0.25045002
0.5604,0.33273998,0.18347,0.00642
0.47204,0.15477,0.103310004,0.03649
0.67872,0.61705,0.43376,0.30408
0.34602,0.20035,0.13492,0.11778
0.79760003,-0.17152001,-1.6744599,-0.11979
0.08118,0.07753,0.00465,0.041149996
0.0,0.0,0.5022,0.35786998
0.39924,0.38799,0.29124,0.24621001
0.59937,0.3066,0.27371,0.21459
0.46822,0.09663,0.11434,0.021440001
0.50278,0.5069,0.46254003,0.25807
0.83105004,0.50089,0.18619,0.11254
0.43842,0.09056,0.09244,0.00907
0.48744,0.31537,0.30354,0.19875
0.08118,0.07753,0.00465,0.041149996
0.46822,0.09663,0.11434,0.021440001
0.15845,0.053790003,0.03502,0.0557
0.17825001,-0.01217,-0.03411,-0.00478
0.38782,0.25977,0.15403,0.19841999
0.43488,0.25864,0.29012,0.14077
0.47182,0.08813,0.124960005,0.0704
0.43842,0.09056,0.09244,0.00907
0.72642,0.25217,0.15931,0.0775
0.47182,0.08813,0.124960005,0.0704
0.35024,0.17009,0.120740004,0.055180002
0.54517,0.45441002,0.15001,0.24323
0.45801,0.46442002,0.2913,0.14975001
0.79406,0.207,0.16826001,0.15572
0.42751998,0.24199,0.18556999,0.14536001
0.8788,0.70079005,0.6848,0.50025004
0.35024,0.17009,0.120740004,0.055180002
0.89606005,0.13533,0.14025,0.0794
0.82164,0.34537998,0.32834,0.20742
0.29023,0.113800004,0.03813,-0.00123
0.63055,0.61014,0.29397,0.33221
0.11059,0.05968,0.03967,0.04774
0.34889,0.23896,0.15941,0.0473
0.41662,0.16758,0.14136,0.06464
