Rev/Sh,FCF/Sh,Cash/Sh,BV/Sh
1419.7524,227.63684155619973,224.078,4395.19
24.024,1.641703783951925,4.627,8.186
109.467,6.0425777193382615,7.869,80.459
35.769,3.3594834975925076,0.449,32.335
11.614,1.0059333002412556,0.375,18.393
9.632,2.148781950671057,6.919,17.937
183.915,48.49949702773688,86.834,64.422
65.004,3.50183001239902,11.568,17.032
,2.922456034229659,,
361.178,23.287135946078166,12.481,76.686
39.882,5.955800253963806,1.87,36.604
126.056,2.1538108795747126,4.76,28.161
210.035,3.9440390561520275,6.334,12.338
106.391,2.903338819083354,45.833,41.517
19.108,0.18996782732314216,0.227,3.178
46.43,2.300890920247668,0.154,34.665
17.602,6.4087329694269695,37.136,38.111
4.762,0.9034785011624348,4.534,9.083
4788.387,148.63645742446178,1021.277,2887.575
150.961,5.256345773995196,2.632,28.007
45.121,24.638361463865905,21.525,74.14
875.602,-9.988275813822284,75.401,160.198
1.54636,1.0610092308294286,11.125,36.311
14365.161,445.91047310213924,1021.277,2887.575
22.089,3.313183929978118,8.206,10.346
38.659,1.0610092308294286,11.125,36.311
46.616,1.0825951221940107,7.106,11.321
4.028,1.15111424,0.634,5.313
23.601,-1.8407360098102197,0.717,27.347
8.824,2.5468333244408976,11.214,9.167
18.493,,3.772,7.384
14.886,3.05531935406547,0.216,-3.177
18.023,1.337546109081077,4.026,11.065
18.023,1.337546109081077,4.026,11.065
11.893,,2.36,5.8
35.138,3.978708448055524,13.441,42.199
59.204,5.881532871179697,1.911,3.829
231.362,6.574545223030061,9.549,33.92
2.432,0.428760318915927,0.075,1.773
1.216,0.2143801594579635,0.075,1.773
38.342,14.44029842875091,4.442,-11.455
28.611,4.586617951322579,2.363,27.869
106.391,2.903338819083354,45.833,41.517
7.972,0.7685420076924999,2.815,14.554
373.171,8.55056497946255,14.605,77.507
24.273,-7.082035759862725,2.477,35.455
19.922,9.99456547467615,11.196,5.117
96.107,7.542064022505893,4.687,49.11
28.941,7.014192280337728,6.515,24.23
3.664,1.157551120132152,2.216,17.019
27.874,1.1125858596258371,3.131,17.958
875.602,-5.480948823975796,75.401,160.198
30.218,6.151412731539614,2.683,44.982
8.76925,0.8247280803226109,8.26,40.768
84.143,,118.295,221.123
35.077,8.247280442726199,8.26,40.768
49.078,-0.6588533367652335,7.282,50.172
16.629,4.713887986846162,19.304,11.593
32.722,6.647218951591045,11.032,18.877
84.143,,118.295,221.123
22.335,-1.9350605433998558,0.373,33.409
45.449,3.900112121056987,4.505,17.558
9.615,,1.149,56.748
7.902,0.9986608179668899,0.558,5.592
28.193,4.859279603366771,2.439,-27.626
9.335,2.1592624492889305,11.007,12.76
2.05748,4.211632764105824,64.221,99.659
2506.37,114.38825150388811,413.055,1749.063
103.686,30.010526050507373,35.64,45.708
103.686,18.149861390872957,35.64,45.708
49.708,-1.4495518567639551,0.757,133.54
28.507,-6.023586765026454,2.634,36.319
20.032,1.7611787842345745,1.634,7.627
124.317,1.7604129049911499,16.823,12.674
3.9552,0.5643588901636707,1.934,32.638
12.966,-0.08075913317847185,3.94,8.198
16103.863,,2648.573,9632.451
52.774,10.66567510231354,23.93,71.036
20.255,2.311894544454688,2.852,44.729
23.366,4.005030075622005,0.87,4.764
19.678,11.787292236216128,7.254,54.826
1733.563,155.55328180548958,465.185,1158.47
19.776,2.821794297005417,1.934,32.638
27.147,,6.296,28.626
71.37,10.705280466762723,4.403,30.8
42.692,1.6563428187114306,1.927,34.32
57.426,8.106211013896036,2.629,63.689
166.693,3.6332765258766564,2.243,3.832
21.229,6.05563095984649,4.508,2.231
96.082,1.4463250094684421,5.135,26.888
166.833,-30.946415596925284,105.207,86.895
102.671,7.769922828195732,30.425,1.565
95.268,21.87851285334244,13.568,60.877
7.095,0.2756992904784342,9.292,20.321
29.794,8.625946432983099,1.742,28.525
33.96,-15.929640693641618,2.605,3.724
29.794,5.6492335711958,1.742,28.525
37.689,-8.355293638244062,199.837,28.777
16.256,1.2123899993324534,5.026,2.898
46.102,-1.8771558177966572,4.176,65.806
391.518,27.351727282077018,4.437,118.668
,,,358.194
55.731,6.930263981459096,4.5,22.277
19.32,3.8779315113673176,1.112,27.09
20.032,14.120199489299306,1.634,7.627
20.032,14.120199489299306,1.634,7.627
109.77,10.604252180545883,3.731,155.259
923.56,8.673270651691416,16.223,-11.636
13.31,,32.092,12.376
7.874,1.8400023717758671,1.05,12.706
,,,4.84
1021.524,-8.335273114274312,180.491,151.607
75.2325,57.81279589103752,9.313,47.275
3.727,1.038579510505052,0.218,25.574
6.859,-6.240562373441232,0.832,34.26
29.271,-3.1207864699365064,0.071,41.083
51.37,21.657466931032634,10.328,59.408
78.397,-2.7074077103238037,0.526,12.009
41.47,3.75745295211263,3.702,31.264
5.848,1.1504407180602954,1.124,5.931
2578.638,,1069.022,3672.646
2.257,2.9063747544357104,2.184,6.619
27.082,2.971376118703194,4.096,6.973
250.021,60.55434573913043,40.36,83.402
35.665,3.662016736617278,1.753,-13.677
4.514,1.453193045866252,2.184,6.619
35.906,3.817119230927242,4.807,45.497
3999.641,154.0550108399993,573.943,1479.864
207.518,7.755416652095769,6.163,20.684
,,,59.034
43.739,3.4672182955994866,8.185,21.272
13.541,1.485690928892723,4.096,6.973
23.175,3.6906166036820194,5.231,21.611
133.423,40.287459266614526,24.982,87.176
133.423,291.9741413523875,24.982,87.176
30.8,,4.874,10.374
59.678,-11.57161942848737,175.389,40.632
97.592,13.6919768729241,20.41,82.777
131.931,-2.9221425604934304,10.818,88.827
42.91,2.023608684478667,4.189,-2.13
8.567,0.7135832318793646,1.162,3.065
61.622,7.890326997026176,8.692,63.201
79.115,26.592982915133916,7.876,-57.995
27.147,,6.296,28.626
24.661694,0.1778437604679555,1184.213,20669.432
21.118,2.3196180331192973,2.166,34.931
7.271,0.0425938127949983,2.714,18.77
12.07,1.997423620056875,0.89,35.776
28.428,1.3807757985628888,0.426,4.699
67.696,,76.746,60.905
11.263,-2.0627070978899775,0.225,13.471
,,,339.016
7.271,0.0425938127949983,2.714,18.77
933.326,115.6162038906248,281.719,1365.798
45.791,,498.408,83.162
17.389,3.0336402462107066,26.961,35.133
10.971,1.0840738568357133,7.47,6.561
39.783,,8.098,10.715
88.625,14.421323294117647,12.871,33.988
26.509,2.6410152639792925,0.114,20.089
177.111,7.1776190182002395,48.237,41.3
12.21,2.508176222321315,1.352,25.397
3.677,0.47731720878351,6.24,2.542
30.131,3.452212495832985,4.387,55.086
8.202,1.6763135017570392,1.645,15.484
385.41,,45.539,808.992
128.546,8.990839775850958,34.584,120.463
3.548,,0.959,2.173
2.222,,4.568,5.237
16.021,5.0811225041695325,0.624,64.974
18.294,2.8400527325757308,3.326,25.381
385.41,,45.539,808.992
25.909,4.438464988040878,4.071,3.833
8.567,0.7135832318793646,1.162,3.065
58.831,8.84751028353354,4.8,22.654
13.988,,0.535,24.09
25.909,4.438464988040878,4.071,3.833
85.319,11.155634444725974,50.762,82.987
47.079,7.014172358093135,1.527,41.224
54.3,,139.266,166.947
2655.917,-76.58770267507468,132.771,2820.883
3.75,0.8910706530025736,6.408,6.833
171.734,3.5463113656798426,2.219,46.729
68.439,-7.119872054261325,0.154,56.468
55.827,6.840655463901149,0.419,41.119
28.062,3.6939221453888456,3.13,10.12
43.413,3.313264328259431,43.498,21.257
180.922,,73.576,63.428
4.27,1.7823558345600725,0.181,3.611
1327.9585,-38.29385133753734,132.771,2820.883
15.62,7.387045176511122,1.986,14.565
7.16,7.071207744051501,0.698,2.113
10002.25,,349100.4,148034.22
24.059,0.06125116065900753,8.38,18.212
8.288,,24.825,16.456
2578.638,,1069.022,3672.646
50.569,-2.7959615960989934,10.721,25.311
25.344,-6.870870240406348,0.897,54.752
1.432,0.7071207144456718,0.698,2.113
11.85,,9.508,28.467
9.063,,7.639,28.576
146.835,10.957395372721214,0.931,8.416
4860.746,341.73333551032,800.834,3560.928
853.987,,646.172,1834.45
8.288,,24.825,16.456
7.371,1.207174116870254,0.254,2.979
2.202,-2.565024830182384,8.784,5.92
50.95,3.194435412567609,2.855,51.532
2578.214,,163.323,2567.576
2.776,,1.781,6.162
130.738,3.999470856620964,14.785,73.837
36.636,1.7423182105351518,1.035,11.819
16.177,1.8239444629356665,3.964,14.693
42.692,0.12741160530788742,1.927,34.32
30.394,2.3626016704577526,15.343,33.003
4907.767,,911.78,2533.807
35.933,9.60097987784599,7.96,24.499
30.227,-8.740893827352174,0.041,45.54
28.608,1.8763022519678645,1.424,16.234
20.966,,1.087,22.481
342.181,21.78285111763418,10.857,68.173
144.855,1.3170498433594233,55.113,71.531
11.925,-1.2251272661122248,0.398,19.324
21.259,9.212447597679633,0.723,84.016
2.9065,0.986649528951179,0.961,5.811
21.643,3.1315356444094165,6.282,10.693
5.813,0.986649528951179,0.961,5.811
29.336,-10.37078846776806,5.178,83.39
21.892,-3.0765503473868114,0.741,-2.599
4860.746,341.73333551032,800.834,3560.928
13.759,-2.230716638949672,1.774,24.059
35.143,2.334734619279813,0.671,16.96
11.961,-9.923554027311127,58.389,76.977
78.797,-0.28994464705533846,7.045,71.504
23.805,,52.296,42.291
20.576,3.9928890357981026,0.223,4.539
184.728,33.48480994223021,3.001,-12.563
24.558,0.9197193820425489,3.215,20.417
1906.336,,426.534,4831.744
5.67,,0.627,11.461
